stop_id,stop_lat,stop_lon,stop_name
S1302,5.57389,-0.242329,2nd Stop Behind Accra Academy
S1303,5.57544,-0.244281,Pentecost 178
S1304,5.57657,-0.245598,White House 178
S1305,5.57843,-0.244663,Valley Inn
S1306,5.57736,-0.242878,Control Junction
S1312,5.54309,-0.216124,Timber Market
S1313,5.5448,-0.216699,Arena
S1317,5.53592,-0.21375,Roundabout 185
S1318,5.52969,-0.226001,Korle Bu Junction 185
S1319,5.52916,-0.228612,Korle Bu Junction 185
S1320,5.52758,-0.236279,White House 473
S1321,5.52712,-0.239462,Galilee
S1322,5.52698,-0.241652,T Garden 521
S1323,5.52637,-0.249082,Bridge 521
S1327,5.60488,-0.216744,Rayposh Hotel Junction
S1331,5.60938,-0.210393,Abelemkpe
S1333,5.60783,-0.208087,PBC Perez Junction
S1336,5.59239,-0.204243,Police Station 400
S1337,5.58969,-0.207225,Five Five
S1338,5.58808,-0.207514,Agbajina
S1339,5.58577,-0.207877,Total 186
S1340,5.58138,-0.209198,Mallam Atta
S1341,5.5764,-0.211023,Asantewa
S1348,5.57404,-0.252797,Dansoman Junction 251
S135,5.58111,-0.197356,Nima Main Market
S1350,5.56501,-0.235657,Kaneshie Market Station
S1357,5.57714,-0.233756,Love Community
S1358,5.58392,-0.234008,Orgle Road
S1359,5.5965,-0.245395,Kelewele Junction
S1363,5.59836,-0.247529,Abeka Primary
S1364,5.58903,-0.240802,De Mod
S1366,5.58793,-0.226911,Old Melcom 2
S1368,5.58034,-0.220456,Kokomlemle Station
S1369,5.57919,-0.217,Michelin
S1370,5.57301,-0.216396,Vodafone Office 203
S1377,5.58956,-0.228225,Ghana Mart
S1379,5.5858,-0.225481,Kasadjan 1
S1380,5.57723,-0.221138,Roadside 193
S1381,5.58005,-0.219768,Railway
S1386,5.57997,-0.210309,Road Side 196
S1387,5.58122,-0.209368,Mallam Atta
S1388,5.59011,-0.207086,Five Five
S1389,5.59124,-0.206246,Adikansa Agya
S1390,5.5947,-0.207789,Road Side 2 166
S1394,5.58781,-0.207573,New Town 37 Station
S1395,5.58569,-0.207979,Total 196
S1396,5.58409,-0.20826,Mallam Atta
S1397,5.57379,-0.214903,Odor Rise 201
S14,5.6877,-0.281836,Pokuase Junction
S1407,5.57599,-0.213217,Roadside 201
S1408,5.5788,-0.211042,Roadside 2 201
S1413,5.579,-0.209079,Nima Junction
S142,5.60103,-0.255634,Mambo 263
S1424,5.57723,-0.233804,Love Community
S143,5.61037,-0.261262,Five 067
S1431,5.57981,-0.233624,Prince of Peace
S1435,5.57285,-0.216439,Vodafone Office 203
S1439,5.56122,-0.199328,Ridge hospital
S144,5.6161,-0.260891,Scorpion
S1441,5.55715,-0.194644,State House
S1448,5.56029,-0.209609,Champion
S1449,5.56904,-0.184942,Fire Service 206
S145,5.61927,-0.261898,Sakora Junction 067
S1456,5.55838,-0.194116,Parliament
S1457,5.56661,-0.189814,Barclays Club House
S1458,5.57047,-0.18735,Police Headquarters
S146,5.62659,-0.261829,Curve 067
S1463,5.5555,-0.192823,Parliament
S1464,5.56249,-0.200597,Ridge Hosp. Taxi Rank
S1465,5.56371,-0.206164,Trust Towers
S1469,5.56361,-0.206259,Cathederal
S1474,5.56757,-0.213322,Mr. Biggs
S1478,5.55536,-0.192731,AICC
S1479,5.55285,-0.189111,Kingdom Books
S1483,5.56712,-0.213285,PTC 208
S1487,5.5765,-0.227973,Total 209
S1489,5.5805,-0.229316,St Theresa's
S15,5.65746,-0.265435,Ofankor Barrier
S150,5.61804,-0.26153,Tabora Junction
S1509,5.57182,-0.206973,IPMC
S151,5.59099,-0.252222,Darkuman Accra Station
S1510,5.57041,-0.213057,Overhead 419
S152,5.56236,-0.228567,Obetsebi Roundabout
S1520,5.56783,-0.200255,Love Ridge
S1527,5.59529,-0.221889,Cat
S153,5.5568,-0.22191,Cold Store 223
S1530,5.6006,-0.238944,Abeka Market
S1531,5.60164,-0.240661,Fadama Junction
S1535,5.60076,-0.23916,Abeka Market
S1537,5.59982,-0.23755,Streetlight
S1539,5.59836,-0.230589,Junction 176
S1542,5.57781,-0.21679,Filling Station 216
S1546,5.58298,-0.216674,Caprice
S1547,5.59869,-0.223588,Tesano Junction
S1553,5.58395,-0.217032,Caprice
